dataset,model,noise_scale,orig_f1,orig_precision,orig_recall,orig_accuracy,noisy_f1,noisy_precision,noisy_recall,noisy_accuracy
SKAB,Automata,0.05,0.19409394952873216,0.11226155305102674,1.0,0.1625,0.19409324583321347,0.11216107781897258,1.0,0.16624999999999998
SKAB,Automata,0.1,0.19409394952873216,0.11226155305102674,1.0,0.1625,0.19455291379288142,0.11253440253440253,1.0,0.16625
SKAB,Automata,0.15,0.19409394952873216,0.11226155305102674,1.0,0.1625,0.19325336152734715,0.11169290169290169,1.0,0.15875
SKAB,Automata,0.2,0.19409394952873216,0.11226155305102674,1.0,0.1625,0.1897516976129467,0.10964854964854967,0.95,0.16
SKAB,Automata,0.25,0.19409394952873216,0.11226155305102674,1.0,0.1625,0.18695161371530186,0.10800415800415801,0.9428571428571428,0.15500000000000003
SKAB,LSTM,0.05,0.21626816588194453,0.14791084820496586,0.8678571428571429,0.31875,0.21647737907746306,0.14887513391925156,0.8678571428571429,0.3175
SKAB,LSTM,0.1,0.21626816588194453,0.14791084820496586,0.8678571428571429,0.31875,0.2107470494655545,0.14278262993201074,0.8678571428571429,0.31000000000000005
SKAB,LSTM,0.15,0.21626816588194453,0.14791084820496586,0.8678571428571429,0.31875,0.21148535355912176,0.14354020568958648,0.8678571428571429,0.31
SKAB,LSTM,0.2,0.21626816588194453,0.14791084820496586,0.8678571428571429,0.31875,0.21596875615978442,0.1443936870059161,0.8821428571428571,0.305
SKAB,LSTM,0.25,0.21626816588194453,0.14791084820496586,0.8678571428571429,0.31875,0.2114292897660981,0.1400855499675159,0.8321428571428571,0.30375
SKAB,GRU,0.05,0.2268101931352895,0.13957799306050872,0.9321428571428572,0.29625,0.22771303145748267,0.14029608464496857,0.9321428571428572,0.29874999999999996
SKAB,GRU,0.1,0.2268101931352895,0.13957799306050872,0.9321428571428572,0.29625,0.2253392539557853,0.13833554518442912,0.9321428571428572,0.29375
SKAB,GRU,0.15,0.2268101931352895,0.13957799306050872,0.9321428571428572,0.29625,0.22147530740508153,0.13571253293613084,0.925,0.29000000000000004
SKAB,GRU,0.2,0.2268101931352895,0.13957799306050872,0.9321428571428572,0.29625,0.21626337137293591,0.13306042302359158,0.9035714285714287,0.29250000000000004
SKAB,GRU,0.25,0.2268101931352895,0.13957799306050872,0.9321428571428572,0.29625,0.21771854245174027,0.13430783302100158,0.9035714285714287,0.29500000000000004
SKAB,CNN,0.05,0.27741846398187786,0.19560214804677606,0.8321428571428571,0.49750000000000005,0.2581161433991541,0.1815968787901868,0.7964285714285714,0.48625000000000007
SKAB,CNN,0.1,0.27741846398187786,0.19560214804677606,0.8321428571428571,0.49750000000000005,0.2477723250222567,0.1764824839445546,0.7642857142857142,0.48249999999999993
SKAB,CNN,0.15,0.27741846398187786,0.19560214804677606,0.8321428571428571,0.49750000000000005,0.23283563846003857,0.1693031165730407,0.7357142857142858,0.48375
SKAB,CNN,0.2,0.27741846398187786,0.19560214804677606,0.8321428571428571,0.49750000000000005,0.23572915028331667,0.1723349569353764,0.7285714285714286,0.49874999999999997
SKAB,CNN,0.25,0.27741846398187786,0.19560214804677606,0.8321428571428571,0.49750000000000005,0.229178788813139,0.17243279215156532,0.6964285714285715,0.5075000000000001
BATADAL,Automata,0.05,0.5714285714285714,0.4,1.0,0.4,0.5714285714285714,0.4,1.0,0.4
BATADAL,Automata,0.1,0.5714285714285714,0.4,1.0,0.4,0.5714285714285714,0.4,1.0,0.4
BATADAL,Automata,0.15,0.5714285714285714,0.4,1.0,0.4,0.5714285714285714,0.4,1.0,0.4
BATADAL,Automata,0.2,0.5714285714285714,0.4,1.0,0.4,0.5714285714285714,0.4,1.0,0.4
BATADAL,Automata,0.25,0.5714285714285714,0.4,1.0,0.4,0.5714285714285714,0.4,1.0,0.4
BATADAL,LSTM,0.05,0.4628571428571428,0.34,0.75,0.4800000000000001,0.4628571428571428,0.34,0.75,0.4800000000000001
BATADAL,LSTM,0.1,0.4628571428571428,0.34,0.75,0.4800000000000001,0.4628571428571428,0.34,0.75,0.4800000000000001
BATADAL,LSTM,0.15,0.4628571428571428,0.34,0.75,0.4800000000000001,0.4628571428571428,0.34,0.75,0.4800000000000001
BATADAL,LSTM,0.2,0.4628571428571428,0.34,0.75,0.4800000000000001,0.4628571428571428,0.34,0.75,0.4800000000000001
BATADAL,LSTM,0.25,0.4628571428571428,0.34,0.75,0.4800000000000001,0.4628571428571428,0.34,0.75,0.4800000000000001
BATADAL,GRU,0.05,0.11428571428571428,0.08,0.2,0.5599999999999999,0.11428571428571428,0.08,0.2,0.5599999999999999
BATADAL,GRU,0.1,0.11428571428571428,0.08,0.2,0.5599999999999999,0.11428571428571428,0.08,0.2,0.5599999999999999
BATADAL,GRU,0.15,0.11428571428571428,0.08,0.2,0.5599999999999999,0.11428571428571428,0.08,0.2,0.5599999999999999
BATADAL,GRU,0.2,0.11428571428571428,0.08,0.2,0.5599999999999999,0.11428571428571428,0.08,0.2,0.5599999999999999
BATADAL,GRU,0.25,0.11428571428571428,0.08,0.2,0.5599999999999999,0.11428571428571428,0.08,0.2,0.54
BATADAL,CNN,0.05,0.48225108225108215,0.39714285714285713,0.75,0.42000000000000004,0.48225108225108215,0.39714285714285713,0.75,0.42000000000000004
BATADAL,CNN,0.1,0.48225108225108215,0.39714285714285713,0.75,0.42000000000000004,0.5028571428571429,0.5066666666666666,0.75,0.45999999999999996
BATADAL,CNN,0.15,0.48225108225108215,0.39714285714285713,0.75,0.42000000000000004,0.5028571428571429,0.5066666666666666,0.75,0.45999999999999996
BATADAL,CNN,0.2,0.48225108225108215,0.39714285714285713,0.75,0.42000000000000004,0.5028571428571429,0.5066666666666666,0.75,0.45999999999999996
BATADAL,CNN,0.25,0.48225108225108215,0.39714285714285713,0.75,0.42000000000000004,0.5117460317460317,0.5199999999999999,0.75,0.48
