train_dataset,test_dataset,model,f1,precision,recall,accuracy
SKAB,BATADAL,Automata,0.6153846153846154,0.4444444444444445,1.0,0.5
SKAB,BATADAL,LSTM,0.5460317460317461,0.4,0.9,0.42000000000000004
SKAB,BATADAL,GRU,0.4428571428571429,0.31500000000000006,0.75,0.38000000000000006
SKAB,BATADAL,CNN,0.5317460317460316,0.395,0.85,0.42000000000000004
BATADAL,SKAB,Automata,0.06666666666666667,0.034482758620689655,1.0,0.06666666666666667
BATADAL,SKAB,LSTM,0.0,0.0,0.0,0.6466666666666666
BATADAL,SKAB,GRU,0.013793103448275862,0.007142857142857143,0.2,0.6733333333333333
BATADAL,SKAB,CNN,0.052502780867630695,0.027142857142857146,0.8,0.12666666666666665
